Model_ID,image_size,learning_rate,type,size_MB,dtype,total_params,trainable_params,total_params_and_buffers,peak_activation_kb,accuracy_%,latency_single_ms,latency_batch64_ms,precision_%,recall_%,f1_%,cm_tn,cm_fp,cm_fn,cm_tp
kan h 64-32-24-16 WM 1.0,96,0.001,hybrid,1.412,int8+float32,1017704.0,0.0,1017704.0,4423.1,84.33,122.66,2.726,84.57,84.33,84.31,2655.0,345.0,595.0,2405.0
kan t 64-32-24-16 WM 1.0,96,0.001,tflite,1.552,int8,1056525.0,0.0,5325271.0,288.0,85.52,2.55,2.493,85.63,85.52,85.5,2651.0,349.0,520.0,2480.0
kan o 64-32-24-16 WM 1.0,96,0.003,original,3.929,float32,1017704.0,1009312.0,1017704.0,4423.1,77.53,122.79,2.708,78.19,77.53,77.4,2097.0,903.0,445.0,2555.0
kan o 8-2 WM 1.0,224,0.003,original,3.602,float32,932096.0,931920.0,932096.0,23901.5,88.3,9.74,0.839,88.42,88.3,88.29,2732.0,268.0,434.0,2566.0
kan o 8-4 WM 1.0,224,0.003,original,3.604,float32,932448.0,932200.0,932448.0,23901.5,88.8,10.47,0.842,88.92,88.8,88.79,2749.0,251.0,421.0,2579.0
kan o 8-8 WM 1.0,224,0.003,original,3.606,float32,933152.0,932760.0,933152.0,23901.5,88.63,11.82,0.865,88.81,88.63,88.62,2759.0,241.0,441.0,2559.0
kan o mlp_16_4_grid5_deg3_img96_bs256_lr0.003_wd1e-05_do0.05_mobilenetv3_small_wm0.334,96,0.003,original,1.677,float32,,,,,,,,,,,,,,
kan t mlp_16_4_grid5_deg3_img96_bs256_lr0.003_wd1e-05_do0.05_mobilenetv3_small_wm0.334,96,0.003,tflite,0.251,int8,123610.0,0.0,1672602.0,144.0,83.5,0.36,0.361,84.04,83.5,83.43,2694.0,306.0,684.0,2316.0
kan o mlp_16_4_grid5_deg3_img96_bs256_lr0.003_wd1e-05_do0.05_mobilenetv3_small_wm1.0,96,0.003,original,10.985,float32,,,,,,,,,,,,,,
kan t mlp_16_4_grid5_deg3_img96_bs256_lr0.003_wd1e-05_do0.05_mobilenetv3_small_wm1.0,96,0.003,tflite,1.172,int8,932018.0,0.0,5054450.0,288.0,86.22,0.94,0.936,86.31,86.22,86.21,2663.0,337.0,490.0,2510.0
